indicator_name,indicator_code,country_name,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,0.033517417,0.031815891,0.033825133,0.036394244,0.031735556,0.034296315,0.029512927,0.028526377,0.032179315,0.034293395,0.032485437,0.031891353,0.033675879,0.037148438,0.038913679,0.042459348,0.044223815,0.044438287,0.044438287
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,South Korea,KOR,0.039985325,0.045754313,0.043152839,0.045966219,0.045842994,0.048374327,0.051826426,0.05376114,0.056756452,0.069248587,0.062219411,0.062942542,0.064374454,0.065788388,0.068214744,0.074555926,0.073251227,0.076386363,0.076386363
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,0.03112536,0.032623212,0.033347234,0.032431278,0.031389363,0.031597223,0.039979948,0.03192772,0.034593396,0.036194393,0.033997996,0.035682611,0.035229473,0.034531333,0.036844887,0.036678946,0.037633267,0.037461632,0.037461632
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,0.125252426,0.131694934,0.139553283,0.144554451,0.145371333,0.145421386,0.146588316,0.148993338,0.152952939,0.163441173,0.164119527,0.163762928,0.163715333,0.163475177,0.165316626,0.168398812,0.171972627,0.176126928,0.176126928
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Vietnam,VNM,0.048492696,0.057281657,0.045758735,0.046554862,0.048239328,0.059655582,0.053919967,0.054627996,0.051477848,0.052935519,0.059667721,0.058739755,0.062784989,0.063355992,0.057831772,0.056526212,0.056591935,0.055321284,0.055321284
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Brunei Darussalam,BRN,0.021461812,0.021147218,0.02114727,0.021549114,0.021163955,0.018654814,0.016237276,0.016925775,0.016863437,0.021657392,0.029459961,0.017617346,0.016871253,0.017197315,0.017739568,0.022683654,0.024213869,0.022535649,0.022535649
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Cambodia,KHM,0.012926523,0.011849399,0.013967315,0.014816884,0.013728843,0.012269558,0.009599145,0.009719939,0.012431263,0.012173858,0.013628324,0.012798714,0.014673512,0.014195582,0.012397725,0.013446514,0.013338146,0.01487935,0.01487935
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,China,CHN,0.009834592,0.009672494,0.011383937,0.012428615,0.012874559,0.013568958,0.013773741,0.014278417,0.017262345,0.021349836,0.02184297,0.02323756,0.025356192,0.026878158,0.027883398,0.029428284,0.028945444,0.029193537,0.029193537
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,India,IND,0.008344298,0.008468142,0.007721966,0.007524329,0.007116346,0.007633687,0.007453534,0.007351274,0.00795279,0.008926126,0.008575185,0.009373192,0.009318687,0.008654193,0.008565356,0.009219319,0.009422922,0.00959157,0.00959157
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Indonesia,IDN,0.005478276,0.007715112,0.006742249,0.008178486,0.00749263,0.007321374,0.008384283,0.01186987,0.008979124,0.009216432,0.007615111,0.008383374,0.008719698,0.009263966,0.017625313,0.012139377,0.013981818,0.014459928,0.014459928
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Japan,JPN,0.057515174,0.059583679,0.063496432,0.068648111,0.061467517,0.063154114,0.062713787,0.064194297,0.066555969,0.073638685,0.075189244,0.088955881,0.095666947,0.099395362,0.091116883,0.091528594,0.099747258,0.091963155,0.091963155
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Lao PDR,LAO,0.012336652,0.013295668,0.011875467,0.019625217,0.007942553,0.009671815,0.006422159,0.005734884,0.005133254,0.011466394,0.006363675,0.00366939,0.004367172,0.007126627,0.006837332,0.008639137,0.007649485,0.008885543,0.008885543
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Malaysia,MYS,0.011976463,0.013824926,0.013963793,0.015546166,0.014928285,0.013965476,0.017763899,0.01654,0.016411662,0.018418767,0.017543672,0.017946187,0.019374237,0.019237528,0.026739664,0.026788499,0.019176248,0.019524255,0.019524255
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Myanmar,MMR,0.002425169,0.002694938,0.002985848,0.002885678,0.002319338,0.001468576,0.002312954,0.001739612,0.001571428,0.001772876,0.001795985,0.002133617,0.003995767,0.005753377,0.013532764,0.011429775,0.006694439,0.006898481,0.006898481
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Philippines,PHL,0.014685435,0.011965536,0.01124814,0.011557975,0.011316822,0.012999656,0.012662752,0.012274716,0.012139414,0.013343432,0.013758759,0.011962868,0.011499584,0.011718279,0.011387837,0.013668352,0.013975596,0.014188698,0.014188698
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Singapore,SGP,0.012177851,0.008873977,0.015896676,0.013461614,0.013256134,0.013758144,0.011955638,0.0095539,0.012497237,0.011961568,0.011655712,0.011837364,0.013234939,0.015491531,0.017525669,0.019793779,0.029372975,0.021445811,0.021445811
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,South Korea,KOR,0.021236376,0.025444657,0.024238616,0.025587846,0.025814818,0.027422862,0.033652352,0.031491596,0.032297299,0.03581756,0.03678165,0.036672972,0.036973193,0.037941128,0.039361995,0.043825864,0.042172247,0.043629928,0.043629928
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Thailand,THA,0.017115342,0.016648733,0.027636878,0.024556918,0.02125594,0.021361947,0.022331119,0.024145442,0.026726366,0.026468217,0.025962383,0.027277362,0.026824199,0.026227498,0.027885665,0.027487563,0.028583833,0.028517529,0.028517529
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,United States,USA,0.055248763,0.059463568,0.062988647,0.064925916,0.065769836,0.065998599,0.067889228,0.069194473,0.072486579,0.078937563,0.079651338,0.079483218,0.079273142,0.07986787,0.08285448,0.085519612,0.086182237,0.085576147,0.085576147
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Vietnam,VNM,0.016922956,0.015174679,0.016678514,0.015322754,0.017243942,0.018717986,0.019426682,0.019291826,0.019394945,0.019188363,0.023638892,0.022728496,0.026314457,0.029844752,0.024265219,0.023633268,0.026842477,0.026898796,0.026898796
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,0.673543319,0.695253593,0.671218329,0.692892518,0.687994697,0.071684472,0.71724698,0.678527577,0.782992367,0.727831763,0.674137988,0.69567218,0.071592236,0.684187464,0.687189571,0.522159737,0.495769627,0.495732417,0.519322764
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,0.495227815,0.525412472,0.554221331,0.56524735,0.636589558,0.648477256,0.685932451,0.653259686,0.655432573,0.492276352,0.548278279,0.548755914,0.578897645,0.623879358,0.626347417,0.617184238,0.612815249,0.066819579,0.615957275
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,China,CHN,0.028934448,0.023121457,0.226447457,0.269875653,0.316133758,0.338298576,0.363525552,0.354348165,0.326271532,0.247498595,0.271853298,0.265681883,0.254925222,0.245992557,0.235937466,0.214432736,0.197524856,0.199629565,0.195148435
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,India,IND,0.129972363,0.125583796,0.142643839,0.149479139,0.17859125,0.19652467,0.212679414,0.027996997,0.249735726,0.024519374,0.224933249,0.245444898,0.245344366,0.254386135,0.229679638,0.198131892,0.191947534,0.187861226,0.197381867
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,0.049773847,0.393213996,0.326876289,0.034776548,0.322166946,0.346726763,0.313471631,0.294357185,0.298828417,0.241591197,0.242993937,0.263273539,0.245943788,0.239235764,0.236659846,0.211617926,0.198899385,0.021885593,0.029656949
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Japan,JPN,0.016244857,0.012299915,0.11182213,0.116392935,0.129723238,0.141244112,0.15872923,0.174933166,0.174243772,0.125291416,0.153675698,0.149249963,0.145447526,0.159153981,0.175431551,0.176197554,0.162527631,0.177742263,0.184482975
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,0.036623618,0.278731589,0.287525147,0.235433163,0.249121226,0.289637357,0.381557752,0.336143138,0.331548474,0.038369675,0.353842638,0.04343157,0.378767284,0.38173134,0.047545467,0.339522574,0.332942746,0.342571285,0.352318816
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,1.198978727,0.114249136,0.183532796,0.169434462,1.153733377,1.128989768,1.121854884,0.161682749,0.994995772,0.914167919,0.869329569,0.852554422,0.792999139,0.756294133,0.737934986,0.694486895,0.667754129,0.074552188,0.687573691
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,0.005388379,0.004759971,0.002857542,0.002756572,0.001867368,0.001784554,0.001579476,0.001381868,0.001165562,0.001271275,0.195886519,0.009946491,0.114983618,0.196359832,0.029421625,0.0279916,0.151471134,0.199644953,0.025634318
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,0.513692917,0.462685177,0.467473626,0.471575577,0.485726471,0.461369863,0.465785799,0.432679882,0.369124272,0.322323532,0.34832922,0.323845343,0.038194723,0.281767683,0.289127249,0.283957217,0.281152428,0.312329636,0.316843593
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,1.883589285,1.82894188,1.848611867,0.225862639,2.139516954,2.251596677,2.283761762,2.127793937,2.289937794,0.198449351,1.979989679,0.233277865,1.967196129,1.957779634,1.919535358,1.78384685,1.655554382,1.714285852,1.763787441
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,South Korea,KOR,0.358877734,0.327324454,0.038268551,0.327217469,0.382952782,0.368966448,0.371662637,0.391846778,0.499614121,0.475497645,0.494194931,0.557474745,0.563423923,0.538757636,0.052755337,0.453366898,0.422842147,0.439975865,0.441154697
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Thailand,THA,0.648421237,0.632554775,0.066457527,0.615225614,0.659719617,0.684273487,0.686752522,0.688722296,0.714163964,0.644386859,0.664861363,0.078549846,0.697554628,0.681161497,0.692741688,0.687213427,0.683933273,0.681771568,0.668185672
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,United States,USA,0.01692724,0.096829833,0.091322488,0.094369873,0.096418627,0.011197377,0.01659823,0.114923142,0.124866313,0.019488777,0.123155875,0.135353914,0.13528919,0.135445244,0.135357739,0.12441753,0.118735154,0.12948338,0.122186918
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Vietnam,VNM,0.539214979,0.556193328,0.547391337,0.566732579,0.597314142,0.636994927,0.677168143,0.075178746,0.073366919,0.626888467,0.722356729,0.793987299,0.082861888,0.836261412,0.864475934,0.897792486,0.936239396,0.115934358,0.158318596
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Brunei Darussalam,BRN,0.056449249,0.557446163,0.527786922,0.513871199,0.486155492,0.048697627,0.378713995,0.42784625,0.348297554,0.476481779,0.368646335,0.315238167,0.321976222,0.354255933,0.372624458,0.448475645,0.473727184,0.469527774,0.436828223
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Cambodia,KHM,0.934355612,0.095543392,0.915285256,0.098575993,0.914573587,0.099514384,0.844224354,0.838792,0.857859347,0.823226566,0.876365293,0.888791331,0.858663579,0.842551583,0.834465842,0.822312737,0.813297337,0.78514975,0.755533417
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,China,CHN,0.634898563,0.618299878,0.068525487,0.578649515,0.554567474,0.541577857,0.522827898,0.054381925,0.493246514,0.495683632,0.482865179,0.493958236,0.053384534,0.05653282,0.511964584,0.528976334,0.543746513,0.532621638,0.533528333
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,India,IND,0.756868167,0.759837316,0.743437418,0.723799675,0.687562529,0.677448713,0.659124159,0.656226269,0.672152971,0.674195559,0.657324656,0.672916568,0.671448121,0.679492623,0.68568574,0.694355718,0.696446559,0.071348132,0.076182455
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Indonesia,IDN,0.681823662,0.07392276,0.748796954,0.762675618,0.759349876,0.724719979,0.712962255,0.718891592,0.694533648,0.682919345,0.652239793,0.644823372,0.656383486,0.663471823,0.665641424,0.671994317,0.673546194,0.664598766,0.659353935
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Japan,JPN,0.712635512,0.727793998,0.739936843,0.739731135,0.736296883,0.737411397,0.738373485,0.736238269,0.753115938,0.781253767,0.772428167,0.784397953,0.788921951,0.791258161,0.785496631,0.763964189,0.756245932,0.751621426,0.753314924
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Lao PDR,LAO,0.949763629,0.966951196,0.087945343,0.857997793,0.845126298,0.798788287,0.755816793,0.796717597,0.838593535,0.828262163,0.864897988,0.773676184,0.899274145,0.911856178,0.877492936,0.863368782,0.796654743,0.825543857,0.845171172
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Malaysia,MYS,0.53919618,0.58161717,0.579682355,0.575448517,0.56577815,0.556689264,0.555266929,0.567194217,0.562199579,0.618896918,0.066977554,0.612386522,0.634933555,0.655259881,0.657476255,0.674839798,0.673525924,0.675688667,0.693743374
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Myanmar,MMR,0.571047207,0.588708461,0.606915939,0.625686535,0.645037665,0.664987284,0.685553901,0.706756599,0.825814514,0.842123593,0.673271633,0.633717854,0.633647633,0.662971624,0.674157859,0.682297856,0.699794195,0.712574299,0.733951527
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Philippines,PHL,0.836236745,0.847138735,0.844761624,0.84554734,0.838856254,0.845417635,0.837756619,0.827646885,0.831712662,0.845341168,0.812721811,0.831699833,0.855775884,0.841939193,0.839273763,0.846842115,0.848946637,0.847127442,0.857522789
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Singapore,SGP,0.523593814,0.578548981,0.582281378,0.569494456,0.523179638,0.49745252,0.481331994,0.459298142,0.056413776,0.493289548,0.462946683,0.458524527,0.46163915,0.477767786,0.472154134,0.473489889,0.467623573,0.464885332,0.454787462
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,South Korea,KOR,0.659376879,0.669415572,0.676715679,0.669412845,0.641551444,0.654867545,0.666161858,0.663579796,0.677196325,0.66821515,0.647922245,0.655462636,0.662449122,0.659183765,0.654692452,0.643175135,0.638265767,0.634294181,0.647362226
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Thailand,THA,0.677966166,0.694771182,0.688298867,0.685568618,0.689886258,0.694935484,0.679533679,0.664743523,0.67981326,0.694589286,0.679763171,0.691277398,0.693988697,0.68634368,0.693221794,0.681483472,0.667551462,0.651563294,0.648987336
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,United States,USA,0.799834417,0.813586158,0.82181626,0.826487476,0.824111369,0.821517196,0.824129425,0.823786842,0.837956613,0.849392199,0.846847276,0.846247238,0.834894617,0.825122397,0.82116778,0.817843552,0.824277536,0.824683483,0.822755912
Final Consumption Expenditure (% Of GDP),NE.CON.TOTL.ZS,Vietnam,VNM,0.728757874,0.711844874,0.713258873,0.725774328,0.71468754,0.079538612,0.076211783,0.736614494,0.764993221,0.74271992,0.725545317,0.722585148,0.074261299,0.716131522,0.7278934,0.742949565,0.755228491,0.745422372,0.744227796
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Brunei Darussalam,BRN,0.091583645,0.018362189,0.039349838,0.018882816,0.014382179,0.01836755,0.007657694,0.021354465,0.015436884,0.033369978,0.035736879,0.037394918,0.045454587,0.042867916,0.033213145,0.013247175,-0.013252234,0.038582832,0.037758954
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Cambodia,KHM,0.032167443,0.036767564,0.035685915,0.017513166,0.024619775,0.062538395,0.066424226,0.013894968,0.078746816,0.089252724,0.124913812,0.119948438,0.141457114,0.135833469,0.119689482,0.019866353,0.122817722,0.125749573,0.13996129
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,China,CHN,0.034758225,0.035132129,0.036999885,0.03487434,0.034836411,0.045542543,0.045857916,0.044965217,0.037336354,0.025688886,0.043562478,0.037882875,0.028279312,0.033987563,0.025683425,0.022133818,0.015689576,0.013676771,0.017295886
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,India,IND,0.007652126,0.015637836,0.011157185,0.006588925,0.007656145,0.008861721,0.021316843,0.027339575,0.03625219,0.026515931,0.016353427,0.022652743,0.013129343,0.01516276,0.016956588,0.029211576,0.019415612,0.015687927,0.015491577
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Indonesia,IDN,-0.027574399,-0.018556862,0.007415164,-0.002542563,0.00738244,0.029161148,0.013479426,0.016315719,0.018263292,0.009391942,0.022517914,0.023298429,0.023978327,0.025513563,0.028199727,0.022976164,0.004873725,0.02198776,0.018144683
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Japan,JPN,0.002186829,0.001144646,0.00288517,0.001973567,0.001563388,0.001148856,-0.00529759,0.004796838,0.004887914,0.00233714,0.001354125,-0.001381639,0.008817493,0.002653658,0.004722815,0.001196548,0.008312756,0.003868815,0.00494957
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Lao PDR,LAO,0.01957639,0.013515792,0.002531769,0.009629697,0.007148955,0.011332133,0.054247615,0.076697171,0.041839374,0.054627494,0.039115322,0.034373668,0.066156581,0.057577884,0.065391638,0.074894148,0.059174645,0.014611655,0.073536181
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Malaysia,MYS,0.043842862,0.005972932,0.031661243,0.029294295,0.035787262,0.027343931,0.047271945,0.046868885,0.032878735,0.005669227,0.042686639,0.057445535,0.028295647,0.034943178,0.031412678,0.032794957,0.044713182,0.029372894,0.023899964
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Myanmar,MMR,0.028611777,0.032156575,0.022275256,0.023777577,0.021628965,0.01959664,0.019182128,0.035175167,0.027112718,0.029235542,0.018189722,0.042127651,0.022254651,0.037485655,0.033233638,0.068424433,0.051822544,0.059989268,0.018131843
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Philippines,PHL,0.018352659,0.009965635,0.021743512,0.005863554,0.006479626,0.016144129,0.022153663,0.019541554,0.007692687,0.01226499,0.005362979,0.008954774,0.012856925,0.013748626,0.021682578,0.019261116,0.027155178,0.03273433,0.029712981
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Singapore,SGP,0.161492374,0.189396176,0.066537147,0.174625858,0.212237251,0.151133869,0.263266553,0.261619542,0.072347968,0.127969929,0.236933632,0.175963672,0.187438844,0.029344814,0.218193497,0.226537774,0.222345794,0.288925613,0.249993941
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,South Korea,KOR,0.024927372,0.012235765,0.008991594,0.013935375,0.017381124,0.015195523,0.009557316,0.007862353,0.011162729,0.012827772,0.008677392,0.008127484,0.007765655,0.009778322,0.006578499,0.002968476,0.00855546,0.011723443,0.0075228
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Thailand,THA,0.026631269,0.042122256,0.024881544,0.03435939,0.033894796,0.04339585,0.042125325,0.032835693,0.029382486,0.022759656,0.04323262,0.006678764,0.032445663,0.037912675,0.012214522,0.02224687,0.006815315,0.018759492,0.026149123
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,United States,USA,0.034531834,0.016311634,0.011546357,0.012223979,0.017491874,0.019187642,0.021648784,0.023983974,0.023183282,0.011148436,0.017611931,0.016953234,0.015456253,0.017166136,0.014373996,0.027942186,0.026434284,0.018276118,0.012577185
"Foreign Direct Investment, Net Inflows (% Of GDP)",BX.KLT.DINV.WD.GD.ZS,Vietnam,VNM,0.041639248,0.039773355,0.039926875,0.036661229,0.035448173,0.033943646,0.036169433,0.086547177,0.096633955,0.071688199,0.069611838,0.054817993,0.0537299,0.051979294,0.049482734,0.061636116,0.061387237,0.063834952,0.063211749
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,Brunei Darussalam,BRN,0.358172936,0.391935648,0.416261388,0.359692157,0.317952372,0.272891695,0.252164515,0.278977165,0.276146739,0.35789462,0.279614767,0.033468186,0.354787212,0.428954196,0.03654927,0.326864664,0.377413688,0.356357347,0.41964435
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,Brunei Darussalam,BRN,0.358172936,0.391935648,0.416261388,0.359692157,0.317952372,0.272891695,0.252164515,0.278977165,0.276146739,0.35789462,0.279614767,0.033468186,0.354787212,0.428954196,0.03654927,0.326864664,0.377413688,0.356357347,0.41964435
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,Cambodia,KHM,0.613625144,0.612222994,0.642782947,0.665634186,0.079552236,0.727472229,0.762128382,0.729421788,0.677778677,0.559177119,0.595293544,0.595187615,0.627767297,0.676585587,0.678758138,0.661456432,0.656685447,0.641581574,0.633288533
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,Cambodia,KHM,0.613625144,0.612222994,0.642782947,0.665634186,0.079552236,0.727472229,0.762128382,0.729421788,0.677778677,0.559177119,0.595293544,0.595187615,0.627767297,0.676585587,0.678758138,0.661456432,0.656685447,0.641581574,0.633288533
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,China,CHN,0.185179398,0.182152135,0.021265796,0.248232315,0.284441866,0.28378353,0.284438584,0.267585673,0.251232718,0.02435174,0.235317424,0.241727143,0.227749982,0.221451222,0.214713664,0.181857333,0.174581934,0.181867318,0.187313138
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,China,CHN,0.185179398,0.182152135,0.021265796,0.248232315,0.284441866,0.28378353,0.284438584,0.267585673,0.251232718,0.02435174,0.235317424,0.241727143,0.227749982,0.221451222,0.214713664,0.181857333,0.174581934,0.181867318,0.187313138
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,India,IND,0.13936866,0.134348751,0.152442792,0.156445223,0.1964469,0.223964229,0.244565398,0.248865689,0.292786318,0.258723527,0.268542733,0.318346551,0.312592917,0.284132765,0.259542227,0.22197248,0.029641355,0.219866819,0.236396344
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,India,IND,0.13936866,0.134348751,0.152442792,0.156445223,0.1964469,0.223964229,0.244565398,0.248865689,0.292786318,0.258723527,0.268542733,0.318346551,0.312592917,0.284132765,0.259542227,0.22197248,0.029641355,0.219866819,0.236396344
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,Indonesia,IDN,0.034595674,0.037616843,0.263918488,0.23138839,0.275446218,0.299266825,0.256224156,0.253935315,0.287531155,0.213531778,0.224224294,0.238526695,0.249885195,0.247137963,0.244141999,0.027774698,0.18332348,0.191741862,0.225597343
Imports Of Goods And Services (% Of GDP),NE.IMP.GNFS.ZS,Indonesia,IDN,0.034595674,0.037616843,0.263918488,0.23138839,0.275446218,0.299266825,0.256224156,0.253935315,0.287531155,0.213531778,0.224224294,0.238526695,0.249885195,0.247137963,0.244141999,0.027774698,0.18332348,0.191741862,0.225597343
