indicator_name,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
"Trademark Applications, Direct Resident",141.00,2322.00,56583.00,249.00,19863.00,4422.00,21625.00,6305.00,28141.00,37476.00
"Trademark Applications, Direct Nonresident",1833.00,5944.00,18123.00,3041.00,23793.00,4068.00,13611.00,19627.00,25956.00,16922.00
Secure Internet Servers (Per 1 Million People),1988.52,81.11,1283.00,20.39,5713.04,9.20,92.85,84713.86,953.86,1769.47
"Listed Domestic Companies, Total",,,619.00,,902.00,,264.00,482.00,704.00,749.00
Researchers In R&D (Per Million People),295.00,30.37,215.99,,2396.54,29.07,105.68,6635.56,1350.34,707.74
"Life Expectancy At Birth, Female (Years)",76.96,71.63,73.75,69.42,78.17,69.87,75.39,85.40,80.70,79.44
"Life Expectancy At Birth, Total (Years)",75.72,69.57,71.51,67.61,76.00,66.87,71.10,83.15,76.93,75.32
"Life Expectancy At Birth, Male (Years)",74.59,67.31,69.38,65.84,74.08,63.76,67.12,81.00,73.23,71.21
Ease Of Doing Business Score (0 = Lowest Performance To 100 = Best Performance),69.63,53.80,68.18,49.78,81.34,43.48,60.87,85.84,79.52,68.57
"Time To Export, Border Compliance (Hours)",117.00,48.00,62.60,9.00,28.00,141.70,42.50,10.00,44.00,55.00
"Time To Export, Documentary Compliance (Hours)",155.00,132.00,61.30,60.00,10.00,144.00,36.00,2.00,11.30,50.00
Gini Index (World Bank Estimate),,37.90,39.00,36.40,41.00,30.70,44.40,45.90,36.40,35.70
Time Required To Start A Business (Days),5.50,99.00,21.00,174.00,13.50,14.00,34.00,1.50,6.00,17.00
Technicians In R&D (Per Million People),,60.88,17.49,,263.25,18.70,27.96,450.69,319.77,71.49
"Suicide Mortality Rate, Male (Per 100,000 Male Population)",6.40,7.80,4.80,11.40,7.80,5.90,4.30,13.80,23.40,10.90
"Suicide Mortality Rate (Per 100,000 Population)",4.60,5.30,3.40,8.60,5.50,7.80,3.20,9.90,14.40,7.30
Logistics Performance Index: Competence And Quality Of Logistics Services (1=Low To 5=High),2.71,2.41,3.10,2.65,3.30,2.28,2.78,4.10,3.41,3.40
Logistics Performance Index: Efficiency Of Customs Clearance Process (1=Low To 5=High),2.62,2.37,2.67,2.61,2.90,2.17,2.53,3.89,3.14,2.95
"Suicide Mortality Rate, Female (Per 100,000 Female Population)",2.70,2.90,2.00,5.70,3.20,9.50,2.00,6.10,5.90,3.70
"Hospital Beds (Per 1,000 People)",2.70,0.80,1.20,1.50,1.90,0.90,1.00,2.40,2.10,2.60
"Physicians (Per 1,000 People)",1.61,,0.43,0.37,1.54,0.68,0.60,2.29,0.81,0.83
"Portfolio Equity, Net Inflows (Bop, Current Us$)",0.00,0.00,-3668291225.00,1805012.43,-1143301101.00,0.00,-1031400031.00,-3653801719.00,-7101366725.00,134000000.00
